[ 2019-09-03T09:15:40+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:15:40+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001646s ]
[ 2019-09-03T09:15:40+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001774s ]
[ 2019-09-03T09:15:50+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:15:50+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000511s ]
[ 2019-09-03T09:15:50+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000612s ]
[ 2019-09-03T09:16:22+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:16:22+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000519s ]
[ 2019-09-03T09:16:22+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000607s ]
[ 2019-09-03T09:18:23+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:18:23+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000991s ]
[ 2019-09-03T09:18:23+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001074s ]
[ 2019-09-03T09:18:57+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:18:57+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000549s ]
[ 2019-09-03T09:18:57+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000645s ]
[ 2019-09-03T09:18:59+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:18:59+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000739s ]
[ 2019-09-03T09:18:59+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000860s ]
[ 2019-09-03T09:19:00+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:19:00+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000511s ]
[ 2019-09-03T09:19:00+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000592s ]
[ 2019-09-03T09:19:57+08:00 ] /index.php | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:19:57+08:00 ] /index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001314s ]
[ 2019-09-03T09:19:57+08:00 ] /index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001433s ]
[ 2019-09-03T09:21:24+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:21:24+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000509s ]
[ 2019-09-03T09:21:24+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000599s ]
[ 2019-09-03T09:21:26+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:21:26+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000522s ]
[ 2019-09-03T09:21:26+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000607s ]
[ 2019-09-03T09:21:38+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:21:38+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000511s ]
[ 2019-09-03T09:21:38+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000593s ]
[ 2019-09-03T09:21:39+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:21:39+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000551s ]
[ 2019-09-03T09:21:39+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000634s ]
[ 2019-09-03T09:31:54+08:00 ] /index.php/xx | ERR: (ThinkException) 无法加载模块Test
[ 2019-09-03T09:32:31+08:00 ] /index.php/xx | ERR: (ThinkException) 无法加载模块Api
[ 2019-09-03T09:32:37+08:00 ] /index.php/xx | ERR: (ThinkException) 无法加载模块Index
[ 2019-09-03T09:32:45+08:00 ] /index.php/xx | ERR: (ThinkException) 无法加载模块Api
[ 2019-09-03T09:32:49+08:00 ] /index.php/xx | ERR: (ThinkException) 无法加载模块test
[ 2019-09-03T09:32:56+08:00 ] /index.php/xx | ERR: (ThinkException) 无法加载模块Test
[ 2019-09-03T09:34:57+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --START--
[ 2019-09-03T09:34:57+08:00 ] /index.php/xx | INFO: Run CheckRoute Behavior [ RunTime:0.001385s ]
[ 2019-09-03T09:34:57+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --END-- [ RunTime:0.001489s ]
[ 2019-09-03T09:34:57+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:34:57+08:00 ] /index.php/xx | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000977s ]
[ 2019-09-03T09:34:57+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001023s ]
[ 2019-09-03T09:36:29+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --START--
[ 2019-09-03T09:36:29+08:00 ] /index.php/xx | INFO: Run CheckRoute Behavior [ RunTime:0.000920s ]
[ 2019-09-03T09:36:29+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --END-- [ RunTime:0.001002s ]
[ 2019-09-03T09:36:29+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:36:29+08:00 ] /index.php/xx | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000506s ]
[ 2019-09-03T09:36:29+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000549s ]
[ 2019-09-03T09:36:29+08:00 ] /index.php/xx | SQL: SHOW COLUMNS FROM `nav_list` [ RunTime:0.006790s ]
[ 2019-09-03T09:40:44+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --START--
[ 2019-09-03T09:40:44+08:00 ] /index.php/xx | INFO: Run CheckRoute Behavior [ RunTime:0.001387s ]
[ 2019-09-03T09:40:44+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --END-- [ RunTime:0.001479s ]
[ 2019-09-03T09:40:44+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:40:44+08:00 ] /index.php/xx | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000953s ]
[ 2019-09-03T09:40:44+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001001s ]
[ 2019-09-03T09:40:44+08:00 ] /index.php/xx | SQL: SHOW COLUMNS FROM `nav_list` [ RunTime:0.007447s ]
[ 2019-09-03T09:41:46+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --START--
[ 2019-09-03T09:41:46+08:00 ] /index.php/xx | INFO: Run CheckRoute Behavior [ RunTime:0.000879s ]
[ 2019-09-03T09:41:46+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --END-- [ RunTime:0.000975s ]
[ 2019-09-03T09:41:46+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:41:46+08:00 ] /index.php/xx | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000495s ]
[ 2019-09-03T09:41:46+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000538s ]
[ 2019-09-03T09:41:46+08:00 ] /index.php/xx | SQL: SHOW COLUMNS FROM `nav_list` [ RunTime:0.007033s ]
[ 2019-09-03T09:41:53+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --START--
[ 2019-09-03T09:41:53+08:00 ] /index.php/xx | INFO: Run CheckRoute Behavior [ RunTime:0.001014s ]
[ 2019-09-03T09:41:53+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --END-- [ RunTime:0.001111s ]
[ 2019-09-03T09:41:53+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:41:53+08:00 ] /index.php/xx | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000569s ]
[ 2019-09-03T09:41:53+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000625s ]
[ 2019-09-03T09:41:53+08:00 ] /index.php/xx | SQL: SHOW COLUMNS FROM `nav_list` [ RunTime:0.006461s ]
[ 2019-09-03T09:42:11+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --START--
[ 2019-09-03T09:42:11+08:00 ] /index.php/xx | INFO: Run CheckRoute Behavior [ RunTime:0.000878s ]
[ 2019-09-03T09:42:11+08:00 ] /index.php/xx | INFO: Tag[ route_check ] --END-- [ RunTime:0.000959s ]
[ 2019-09-03T09:42:11+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T09:42:11+08:00 ] /index.php/xx | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000477s ]
[ 2019-09-03T09:42:11+08:00 ] /index.php/xx | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000518s ]
[ 2019-09-03T09:42:11+08:00 ] /index.php/xx | SQL: SHOW COLUMNS FROM `nav_list` [ RunTime:0.007339s ]
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --START--
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | INFO: Run CheckRoute Behavior [ RunTime:0.001553s ]
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --END-- [ RunTime:0.001658s ]
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --START--
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001015s ]
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001065s ]
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_nav_list` [ RunTime:0.007052s ]
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | SQL: SHOW COLUMNS FROM `ecs_home_config` [ RunTime:0.006339s ]
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | SQL: SELECT `type`,`conf_value`,`type` FROM `ecs_home_config` WHERE ( `conf_key` IN ('home_banner','activity_deadline') )  [ RunTime:0.006871s ]
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | NOTIC: [8] Undefined index:  type HomeConfigService.class.php 第 18 行.
[ 2019-09-03T11:51:41+08:00 ] /index.php/api/home-render | NOTIC: [8] Undefined index:  type HomeConfigService.class.php 第 18 行.
[ 2019-09-03T11:52:06+08:00 ] /index.php/api/home-render | INFO: Tag[ route_check ] --START--
