[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | NOTIC: [2048] Only variables should be passed by reference api.php 第 31 行.
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | INFO: Tag[ route_check ] --START--
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | INFO: Run CheckRoute Behavior [ RunTime:0.001727s ]
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | INFO: Tag[ route_check ] --END-- [ RunTime:0.001782s ]
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | INFO: Tag[ app_begin ] --START--
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001439s ]
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001489s ]
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | SQL: SHOW COLUMNS FROM `ecs_nav_list` [ RunTime:0.007900s ]
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | SQL: SHOW COLUMNS FROM `ecs_home_config` [ RunTime:0.007427s ]
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | SQL: SHOW COLUMNS FROM `ecs_goods_packagetour` [ RunTime:0.007356s ]
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | SQL: SELECT * FROM `ecs_home_config` WHERE ( `conf_key` = 'spell_group_ids' ) LIMIT 1   [ RunTime:0.006839s ]
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | NOTIC: [2] Missing argument 1 for GoodsPackagetourService::getListByIds(), called in C:\phpStudy\PHPTutorial\WWW\vue_activity\App\Lib\Action\Api\HomeAction.class.php on line 38 and defined GoodsPackagetourService.class.php 第 9 行.
[ 2019-09-04T09:33:53+08:00 ] /index.php/api/spell-group | NOTIC: [8] Undefined variable: Ids GoodsPackagetourService.class.php 第 10 行.
[ 2019-09-04T09:33:59+08:00 ] /index.php/api/spell-group | NOTIC: [2048] Only variables should be passed by reference api.php 第 31 行.
[ 2019-09-04T09:33:59+08:00 ] /index.php/api/spell-group | INFO: Tag[ route_check ] --START--
[ 2019-09-04T09:33:59+08:00 ] /index.php/api/spell-group | INFO: Run CheckRoute Behavior [ RunTime:0.000937s ]
[ 2019-09-04T09:33:59+08:00 ] /index.php/api/spell-group | INFO: Tag[ route_check ] --END-- [ RunTime:0.000988s ]
[ 2019-09-04T09:33:59+08:00 ] /index.php/api/spell-group | INFO: Tag[ app_begin ] --START--
